,NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL,bulk,power
46,36,1,361,Clefable,Fairy,,Pink,Cute Charm,Magic Guard,Friend Guard,1,0,0,1.3,40.0,95,70,73,95,90,60,483,179,95
47,37,1,371,Vulpix,Fire,,Brown,Flash Fire,,Drought,1,0,0,0.6,9.9,38,41,40,50,65,65,299,81,50
48,37,2,372,Vulpix,Ice,,White,Snow Cloak,,Snow Warning,7,0,0,0.6,9.9,38,41,40,50,65,65,299,81,50
49,38,1,381,Ninetales,Fire,,Yellow,Flash Fire,,Drought,1,0,0,1.1,19.9,73,76,75,81,100,100,505,162,81
50,38,2,382,Ninetales,Ice,Fairy,Blue,Snow Cloak,,Snow Warning,7,0,0,1.1,19.9,73,67,75,81,100,109,505,162,81
51,39,1,391,Jigglypuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard,1,0,0,0.5,5.5,115,45,20,45,25,20,270,82,45
52,40,1,401,Wigglytuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard,1,0,0,1.0,12.0,140,70,45,85,50,45,435,152,85
53,41,1,411,Zubat,Poison,Flying,Purple,Inner Focus,,Infiltrator,1,0,0,0.8,7.5,40,45,35,30,40,55,245,75,45
54,42,1,421,Golbat,Poison,Flying,Purple,Inner Focus,,Infiltrator,1,0,0,1.6,55.0,75,80,70,65,75,90,455,155,80
55,43,1,431,Oddish,Grass,Poison,Blue,Chlorophyll,,Run Away,1,0,0,0.5,5.4,45,50,55,75,65,30,320,107,75
56,44,1,441,Gloom,Grass,Poison,Blue,Chlorophyll,,Stench,1,0,0,0.8,8.6,60,65,70,85,75,40,395,142,85
57,45,1,451,Vileplume,Grass,Poison,Red,Chlorophyll,,Effect Spore,1,0,0,1.2,18.6,75,80,85,110,90,50,490,182,110
58,46,1,461,Paras,Bug,Grass,Red,Effect Spore,Dry Skin,Damp,1,0,0,0.3,5.4,35,70,55,45,55,25,285,100,70
59,47,1,471,Parasect,Bug,Grass,Red,Effect Spore,Dry Skin,Damp,1,0,0,1.0,29.5,60,95,80,60,80,30,405,158,95
60,48,1,481,Venonat,Bug,Poison,Purple,Compound Eyes,Tinted Lens,Run Away,1,0,0,1.0,30.0,60,55,50,40,55,45,305,110,55
61,49,1,491,Venomoth,Bug,Poison,Purple,Shield Dust,Tinted Lens,Wonder Skin,1,0,0,1.5,12.5,70,65,60,90,75,90,450,134,90
62,50,1,501,Diglett,Ground,,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.2,0.8,10,55,25,35,45,95,265,48,55
63,50,2,502,Diglett,Ground,Steel,Brown,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.2,1.0,10,55,30,35,45,90,265,53,55
64,51,1,511,Dugtrio,Ground,,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.7,33.3,35,100,50,50,70,120,425,93,100
65,51,2,512,Dugtrio,Ground,Steel,Brown,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.7,66.6,35,100,60,50,70,110,425,106,100
66,52,1,521,Meowth,Normal,,Yellow,Pickup,Technician,Unnerve,1,0,0,0.4,4.2,40,45,35,40,40,90,290,75,45
67,52,2,522,Meowth,Dark,,Blue,Pickup,Technician,Rattled,7,0,0,0.4,4.2,40,35,35,50,40,90,290,75,50
68,52,3,523,Meowth,Steel,,Brown,Pickup,Tough Claws,Unnerve,8,0,0,0.4,7.5,50,65,55,40,40,40,290,88,65
69,53,1,531,Persian,Normal,,Yellow,Limber,Technician,Unnerve,1,0,0,1.0,32.0,65,70,60,65,65,115,440,130,70
70,53,2,532,Persian,Dark,,Blue,Fur Coat,Technician,Rattled,7,0,0,1.1,33.0,65,60,60,75,65,115,440,130,75
71,54,1,541,Psyduck,Water,,Yellow,Damp,Cloud Nine,Swift Swim,1,0,0,0.8,19.6,50,52,48,65,50,55,320,100,65
72,55,1,551,Golduck,Water,,Blue,Damp,Cloud Nine,Swift Swim,1,0,0,1.7,76.6,80,82,78,95,80,85,500,174,95
73,56,1,561,Mankey,Fighting,,Brown,Vital Spilit,Anger Point,Defiant,1,0,0,0.5,28.0,40,80,35,35,45,70,305,75,80
74,57,1,571,Primeape,Fighting,,Brown,Vital Spilit,Anger Point,Defiant,1,0,0,1.0,32.0,65,105,60,60,70,95,455,130,105
75,58,1,581,Growlithe,Fire,,Brown,Intimidate,Flash Fire,Justified,1,0,0,0.7,19.0,55,70,45,70,50,60,350,98,70
76,59,1,591,Arcanine,Fire,,Brown,Intimidate,Flash Fire,Justified,1,0,0,1.9,155.0,90,110,80,100,80,95,555,188,110
77,60,1,601,Poliwag,Water,,Blue,Water Absorb,Damp,Swift Swim,1,0,0,0.6,12.4,40,50,40,40,40,90,300,82,50
78,61,1,611,Poliwhirl,Water,,Blue,Water Absorb,Damp,Swift Swim,1,0,0,1.0,20.0,65,65,65,50,50,90,385,113,65
79,62,1,621,Poliwrath,Water,Fighting,Blue,Water Absorb,Damp,Swift Swim,1,0,0,1.3,54.0,90,95,95,70,90,70,510,207,95
80,63,1,631,Abra,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,0.9,19.5,25,20,15,105,55,90,310,41,105
81,64,1,641,Kadabra,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,1.3,56.5,40,35,30,120,70,105,400,68,120
82,65,1,651,Alakazam,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,1.5,48.0,55,50,45,135,95,120,500,98,135
83,65,2,652,Mega Alakazam,Psychic,,Brown,Trace,,,1,0,1,1.2,48.0,55,50,65,175,95,150,590,130,175
84,66,1,661,Machop,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,0.8,19.5,70,80,50,35,35,35,305,91,80
85,67,1,671,Machoke,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,1.5,70.5,80,100,70,50,60,45,405,141,100
86,68,1,681,Machamp,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,1.6,130.0,90,130,80,65,85,55,505,188,130
87,69,1,691,Bellsprout,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,0.7,4.0,50,75,35,70,30,40,300,72,75
88,70,1,701,Weepinbell,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,1.0,6.4,65,90,50,85,45,55,390,105,90
89,71,1,711,Victreebel,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,1.7,15.5,80,105,65,100,70,70,490,151,105
90,72,1,721,Tentacool,Water,Poison,Blue,Clear Body,Liquid Ooze,Rain dish,1,0,0,0.9,45.5,40,40,35,50,100,70,335,75,50
91,73,1,731,Tentacruel,Water,Poison,Blue,Clear Body,Liquid Ooze,Rain dish,1,0,0,1.6,55.0,80,70,65,80,120,100,515,151,80
92,74,1,741,Geodude,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,0.4,20.0,40,80,100,30,30,20,300,68,80
93,74,2,742,Geodude,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,0.4,20.3,40,80,100,30,30,20,300,68,80
94,75,1,751,Graveler,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,1.0,105.0,55,95,115,45,45,35,390,98,95
95,75,2,752,Graveler,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,1.0,110.0,55,95,115,45,45,35,390,98,95
96,76,1,761,Golem,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,1.4,300.0,80,120,130,55,65,45,495,151,120
97,76,2,762,Golem,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,1.7,316.0,80,120,130,55,65,45,495,151,120
98,77,1,771,Ponyta,Fire,,Yellow,Run Away,Flash Fire,Flame Body,1,0,0,1.0,30.0,50,85,55,65,65,90,410,110,85
99,77,2,772,Ponyta,Psychic,,White,Run Away,Pastel Veil,Anticipation,8,0,0,0.8,24.0,50,85,55,65,65,90,410,110,85
100,78,1,781,Rapidash,Fire,,Yellow,Run Away,Flash Fire,Flame Body,1,0,0,1.7,95.0,65,100,70,80,80,105,500,146,100
101,78,2,782,Rapidash,Psychic,Fairy,White,Run Away,Pastel Veil,Anticipation,8,0,0,1.7,80.0,65,100,70,80,80,105,500,146,100
102,79,1,791,Slowpoke,Water,Psychic,Pink,Oblivious,Own Tempo,Regenerator,1,0,0,1.2,36.0,90,65,65,40,40,15,315,111,65
103,79,2,792,Slowpoke,Psychic,,Pink,Gluttony,Own Tempo,Regenerator,8,0,0,1.2,36.0,90,65,65,40,40,15,315,111,65
104,80,1,801,Slowbro,Water,Psychic,Pink,Oblivious,Own Tempo,Regenerator,1,0,0,1.6,78.5,95,75,110,100,80,30,490,193,100
105,80,2,802,Slowbro,Poison,Psychic,Pink,Quick Draw,Own Tempo,Regenerator,8,0,0,1.6,70.5,95,100,95,100,70,30,490,173,100
106,80,3,803,Mega Slowbro,Water,Psychic,Pink,Shell Armor,,,1,0,1,2.0,120.0,95,75,180,130,80,30,590,193,130
107,81,1,811,Magnemite,Electric,Steel,Grey,Magnet Pull,Sturdy,Analytic,1,0,0,0.3,6.0,25,35,70,95,55,45,325,92,95
108,82,1,821,Magneton,Electric,Steel,Grey,Magnet Pull,Sturdy,Analytic,1,0,0,1.0,60.0,50,60,95,120,70,70,465,133,120
109,83,1,831,Farfetch'd,Normal,Flying,Brown,Keen Eye,Inner Focus,Defiant,1,0,0,0.8,15.0,52,90,55,58,62,60,377,112,90
110,83,2,832,Farfetch'd,Fighting,,Brown,Steadfast,,Scrappy,8,0,0,0.8,42.0,52,95,55,58,62,55,377,112,95
111,84,1,841,Doduo,Normal,Flying,Brown,Run Away,Early Bird,Tangled Feet,1,0,0,1.4,39.2,35,85,45,35,35,75,310,72,85
112,85,1,851,Dodrio,Normal,Flying,Brown,Run Away,Early Bird,Tangled Feet,1,0,0,1.8,85.2,60,110,70,60,60,110,470,126,110
113,86,1,861,Seel,Water,,White,Thick Fat,Hydration,Ice Body,1,0,0,1.1,90.0,65,45,55,45,70,45,325,121,45
114,87,1,871,Dewgong,Water,Ice,White,Thick Fat,Hydration,Ice Body,1,0,0,1.7,120.0,90,70,80,70,95,70,475,188,70
115,88,1,881,Grimer,Poison,,Purple,Stench,Sticky Hold,Poison Touch,1,0,0,0.9,30.0,80,80,50,40,50,25,325,123,80
116,88,2,882,Grimer,Poison,Dark,Green,Poison Touch,Gluttony,Power of Alchemy,7,0,0,0.7,42.0,80,80,50,40,50,25,325,123,80
117,89,1,891,Muk,Poison,,Purple,Stench,Sticky Hold,Poison Touch,1,0,0,1.2,30.0,105,105,75,65,100,50,500,192,105
118,89,2,892,Muk,Poison,Dark,Green,Poison Touch,Gluttony,Power of Alchemy,7,0,0,1.0,52.0,105,105,75,65,100,50,500,192,105
119,90,1,901,Shellder,Water,,Purple,Shell Armor,Skill Link,Overcoat,1,0,0,0.3,4.0,30,65,100,45,25,40,305,56,65
120,91,1,911,Cloyster,Water,Ice,Purple,Shell Armor,Skill Link,Overcoat,1,0,0,1.5,132.5,50,95,180,85,45,70,525,95,95
121,92,1,921,Gastly,Ghost,Poison,Purple,Levitate,,,1,0,0,1.3,0.1,30,35,30,100,35,80,310,63,100
122,93,1,931,Haunter,Ghost,Poison,Purple,Levitate,,,1,0,0,1.6,0.1,45,50,45,115,55,95,405,92,115
123,94,1,941,Gengar,Ghost,Poison,Purple,Cursed Body,,,1,0,0,1.5,40.5,60,65,60,130,75,110,500,126,130
124,94,2,942,Mega Gengar,Ghost,Poison,Purple,Shadow Tag,,,1,0,1,1.4,40.5,60,65,80,170,95,130,600,158,170
125,95,1,951,Onix,Rock,Ground,Grey,Rock Head,Sturdy,Weak Armor,1,0,0,8.8,210.0,35,45,160,30,45,70,385,86,45
126,96,1,961,Drowzee,Psychic,,Yellow,Insomnia,Forewarn,Inner Focus,1,0,0,1.0,32.4,60,48,45,43,90,42,328,102,48
127,97,1,971,Hypno,Psychic,,Yellow,Insomnia,Forewarn,Inner Focus,1,0,0,1.6,75.6,85,73,70,73,115,67,483,164,73
128,98,1,981,Krabby,Water,,Red,Hyper Cutter,Shell Armor,Sheer Force,1,0,0,0.4,6.5,30,105,90,25,25,50,325,56,105
129,99,1,991,Kingler,Water,,Red,Hyper Cutter,Shell Armor,Sheer Force,1,0,0,1.3,60.0,55,130,115,50,50,75,475,106,130
130,100,1,1001,Voltorb,Electric,,Red,Soundproof,Static,Aftermath,1,0,0,0.5,10.4,40,30,50,55,55,100,330,96,55
131,101,1,1011,Electrode,Electric,,Red,Soundproof,Static,Aftermath,1,0,0,1.2,66.6,60,50,70,80,80,150,490,142,80
132,102,1,1021,Exeggcute,Grass,Psychic,Pink,Chlorophyll,,Harvest,1,0,0,0.4,2.5,60,40,80,60,45,40,325,102,60
133,103,1,1031,Exeggutor,Grass,Psychic,Yellow,Chlorophyll,,Harvest,1,0,0,2.0,120.0,95,95,85,125,75,55,530,183,125
134,103,2,1032,Exeggutor,Grass,Dragon,Yellow,Frisk,,Harvest,7,0,0,10.9,415.6,95,105,85,125,75,45,530,183,125
135,104,1,1041,Cubone,Ground,,Brown,Rock Head,Lightning Rod,Battle Armor,1,0,0,0.4,6.5,50,50,95,40,50,35,320,103,50
136,105,1,1051,Marowak,Ground,,Brown,Rock Head,Lightning Rod,Battle Armor,1,0,0,1.0,45.0,60,80,110,50,80,45,425,158,80
137,105,2,1052,Marowak,Fire,Ghost,Purple,Cursed Body,Lightning Rod,Rock Head,7,0,0,1.0,34.0,60,80,110,50,80,45,425,158,80
138,106,1,1061,Hitmonlee,Fighting,,Brown,Limber,Reckless,Unburden,1,0,0,1.5,49.8,50,120,53,35,110,87,455,107,120
139,107,1,1071,Hitmonchan,Fighting,,Brown,Keen Eye,Iron Fist,Inner Focus,1,0,0,1.4,50.2,50,105,79,35,110,76,455,147,105
140,108,1,1081,Lickitung,Normal,,Pink,Own Tempo,Oblivious,Cloud Nine,1,0,0,1.2,65.5,90,55,75,60,75,30,385,178,60
141,109,1,1091,Koffing,Poison,,Purple,Levitate,Neutralizing Gas,Stench,1,0,0,0.6,1.0,40,65,95,60,45,35,340,89,65
142,110,1,1101,Weezing,Poison,,Purple,Levitate,Neutralizing Gas,Stench,1,0,0,1.2,9.5,65,90,120,85,70,60,490,146,90
143,110,2,1102,Weezing,Poison,Fairy,Grey,Levitate,Neutralizing Gas,Misty Surge,8,0,0,3.0,16.0,65,90,120,85,70,60,490,146,90
144,111,1,1111,Rhyhorn,Ground,Rock,Grey,Lightning Rod,Rock Head,Reckless,1,0,0,1.0,115.0,80,85,95,30,30,25,345,87,85
145,112,1,1121,Rhydon,Ground,Rock,Grey,Lightning Rod,Rock Head,Reckless,1,0,0,1.9,120.0,105,130,120,45,45,40,485,130,130
146,113,1,1131,Chansey,Normal,,Pink,Natural Cure,Serene Grace,Healer,1,0,0,1.1,34.6,250,5,5,35,105,50,450,80,35
147,114,1,1141,Tangela,Grass,,Blue,Chlorophyll,Leaf Guard,Regenerator,1,0,0,1.0,35.0,65,55,115,100,40,60,435,96,100
148,115,1,1151,Kangaskhan,Normal,,Brown,Early Bird,Scrappy,Inner Focus,1,0,0,2.2,80.0,105,95,80,40,80,90,490,202,95
149,115,2,1152,Mega Kangaskhan,Normal,,Brown,Parental Bond,,,1,0,1,2.2,100.0,105,125,100,60,100,100,590,244,125
150,116,1,1161,Horsea,Water,,Blue,Swift Swim,Sniper,Damp,1,0,0,0.4,8.0,30,40,70,70,25,60,295,56,70
151,117,1,1171,Seadra,Water,,Blue,Poison Point,Sniper,Damp,1,0,0,1.2,25.0,55,65,95,95,45,85,440,98,95
152,118,1,1181,Goldeen,Water,,Red,Swift Swim,Water Veil,Lightning Rod,1,0,0,0.6,15.0,45,67,60,35,50,63,320,99,67
153,119,1,1191,Seaking,Water,,Red,Swift Swim,Water Veil,Lightning Rod,1,0,0,1.3,39.0,80,92,65,65,80,68,450,151,92
154,120,1,1201,Staryu,Water,,Brown,Illuminate,Natural Cure,Analytic,1,0,0,0.8,34.5,30,45,55,70,55,85,340,96,70
155,121,1,1211,Starmie,Water,Psychic,Purple,Illuminate,Natural Cure,Analytic,1,0,0,1.1,80.0,60,75,85,100,85,115,520,166,100
156,122,1,1221,Mr. Mime,Psychic,Fairy,Pink,Soundproof,Filter,Technician,1,0,0,1.3,54.5,40,45,65,100,120,90,460,117,100
157,122,2,1222,Mr. Mime,Psychic,Ice,White,Vital Spilit,Screen Cleaner,Ice Body,8,0,0,1.4,56.8,50,65,65,90,90,100,460,126,90
158,123,1,1231,Scyther,Bug,Flying,Green,Swarm,Technician,Steadfast,1,0,0,1.5,56.0,70,110,80,55,80,105,500,168,110
159,124,1,1241,Jynx,Ice,Psychic,Red,Oblivious,Forewarn,Dry Skin,1,0,0,1.4,40.6,65,50,35,115,95,95,455,88,115
160,125,1,1251,Electabuzz,Electric,,Yellow,Static,,Vital Spilit,1,0,0,1.1,30.0,65,83,57,95,85,105,490,125,95
161,126,1,1261,Magmar,Fire,,Red,Flame Body,,Vital Spilit,1,0,0,1.3,44.5,65,95,57,100,85,93,495,125,100
162,127,1,1271,Pinsir,Bug,,Brown,Hyper Cutter,Mold Breaker,Moxie,1,0,0,1.5,55.0,65,125,100,55,70,85,500,146,125
163,127,2,1272,Mega Pinsir,Bug,Flying,Brown,Aerilate,,,1,0,1,1.7,59.0,65,155,120,65,90,105,600,180,155
164,128,1,1281,Tauros,Normal,,Brown,Intimidate,Anger Point,Sheer Force,1,0,0,1.4,88.4,75,100,95,40,70,110,490,155,100
165,129,1,1291,Magikarp,Water,,Red,Swift Swim,,Rattled,1,0,0,0.9,10.0,20,10,55,15,20,80,200,46,15
166,130,1,1301,Gyarados,Water,Flying,Blue,Intimidate,,Moxie,1,0,0,6.5,235.0,95,125,79,60,100,81,540,191,125
167,130,2,1302,Mega Gyarados,Water,Dark,Blue,Mold Breaker,,,1,0,1,6.5,305.0,95,155,109,70,130,81,640,250,155
168,131,1,1311,Lapras,Water,Ice,Blue,Water Absorb,Shell Armor,Hydration,1,0,0,2.5,220.0,130,85,80,85,95,60,535,227,85
169,132,1,1321,Ditto,Normal,,Purple,Limber,,Imposter,1,0,0,0.3,4.0,48,48,48,48,48,48,288,99,48
170,133,1,1331,Eevee,Normal,,Brown,Run Away,Adaptability,Anticipation,1,0,0,0.3,6.5,55,55,50,45,65,55,325,106,55
171,134,1,1341,Vaporeon,Water,,Blue,Water Absorb,,Hydration,1,0,0,1.0,29.0,130,65,60,110,95,65,525,180,110
172,135,1,1351,Jolteon,Electric,,Yellow,Volt Absorb,,Quick Feet,1,0,0,0.8,24.5,65,65,60,110,95,130,525,130,110
173,136,1,1361,Flareon,Fire,,Red,Flash Fire,,Guts,1,0,0,0.9,25.0,65,130,60,95,110,65,525,130,130
174,137,1,1371,Porygon,Normal,,Pink,Trace,Download,Analytic,1,0,0,0.8,36.5,65,60,70,85,75,40,395,146,85
175,138,1,1381,Omanyte,Rock,Water,Blue,Swift Swim,Shell Armor,Weak Armor,1,0,0,0.4,7.5,35,40,100,90,55,35,355,100,90
176,139,1,1391,Omastar,Rock,Water,Blue,Swift Swim,Shell Armor,Weak Armor,1,0,0,1.0,35.0,70,60,125,115,70,55,495,151,115
177,140,1,1401,Kabuto,Rock,Water,Brown,Swift Swim,Battle Armor,Weak Armor,1,0,0,0.5,11.5,30,80,90,55,45,55,355,83,80
178,141,1,1411,Kabutops,Rock,Water,Brown,Swift Swim,Battle Armor,Weak Armor,1,0,0,1.3,40.5,60,115,105,65,70,80,495,142,115
179,142,1,1421,Aerodactyl,Rock,Flying,Purple,Rock Head,Pressure,Unnerve,1,0,0,1.8,59.0,80,105,65,60,75,130,515,151,105
180,142,2,1422,Mega Aerodactyl,Rock,Flying,Purple,Tough Claws,,,1,0,1,2.1,79.0,80,135,85,70,95,150,615,187,135
181,143,1,1431,Snorlax,Normal,,Black,Immunity,Thick Fat,Gluttony,1,0,0,2.1,460.0,160,110,65,65,110,30,540,217,110
182,144,1,1441,Articuno,Ice,Flying,Blue,Pressure,,Snow Cloak,1,1,0,1.7,55.4,90,85,100,95,125,85,580,226,95
183,145,1,1451,Zapdos,Electric,Flying,Yellow,Pressure,,Static,1,1,0,1.6,52.6,90,90,85,125,90,100,580,197,125
184,146,1,1461,Moltres,Fire,Flying,Yellow,Pressure,,Flame Body,1,1,0,2.0,60.0,90,100,90,125,85,90,580,197,125
185,147,1,1471,Dratini,Dragon,,Blue,Shed Skin,,Marvel Scale,1,0,0,1.8,3.3,41,64,45,50,50,50,300,90,64
186,148,1,1481,Dragonair,Dragon,,Blue,Shed Skin,,Marvel Scale,1,0,0,4.0,16.5,61,84,65,70,70,70,420,135,84
